id,first_name,last_name,email,country,ip_address,resident,dnaProfile.pedigree.dqPoints
1,Nicole,Harper,nharper0@unicef.org,Indonesia,21.8.1.83,FALSE,0
2,Karen,Riley,kriley1@ucoz.com,China,172.60.168.111,TRUE,0
3,Clarence,Stone,cstone2@gizmodo.com,Indonesia,232.47.175.33,FALSE,0
4,Catherine,Peterson,cpeterson3@europa.eu,Philippines,80.106.58.248,TRUE,0
5,Kenneth,Thompson,kthompson4@linkedin.com,China,222.103.33.164,FALSE,0
6,Mary,Alvarez,malvarez5@nationalgeographic.com,China,44.55.200.238,FALSE,0
7,Jonathan,Martinez,jmartinez6@devhub.com,Norway,175.176.229.161,FALSE,0
8,Linda,Hanson,lhanson7@walmart.com,France,55.92.212.41,FALSE,0
9,Paula,Warren,pwarren8@trellian.com,Brazil,135.195.40.51,TRUE,0
10,Kenneth,Armstrong,karmstrong9@blinklist.com,Portugal,63.65.138.217,TRUE,0
11,Susan,Howell,showella@alexa.com,China,62.207.252.251,TRUE,0
12,Jack,Bell,jbellb@xrea.com,Indonesia,74.157.115.112,TRUE,0
13,Rachel,Parker,rparkerc@imdb.com,Brazil,23.97.227.16,TRUE,0
14,Ryan,Smith,rsmithd@freewebs.com,China,247.207.7.216,TRUE,0
15,Stephanie,Carroll,scarrolle@mlb.com,Iceland,9.157.45.116,TRUE,0
16,Christopher,Ramos,cramosf@jalbum.net,Portugal,137.94.193.104,TRUE,0
17,Clarence,Roberts,crobertsg@intel.com,China,161.243.161.1,TRUE,0
18,Virginia,Bradley,vbradleyh@wunderground.com,Indonesia,1.2.208.104,TRUE,0
19,Lawrence,Palmer,lpalmeri@sbwire.com,Norway,53.17.218.255,FALSE,0
20,Teresa,Clark,tclarkj@studiopress.com,Indonesia,71.195.111.241,FALSE,0
21,Bonnie,Boyd,bboydk@edublogs.org,Philippines,66.228.100.67,TRUE,0
22,Linda,Thomas,lthomasl@narod.ru,Brazil,211.143.199.228,TRUE,0
23,Ryan,Greene,rgreenem@twitpic.com,Philippines,19.249.213.25,TRUE,0
24,Brian,Adams,badamsn@t-online.de,China,104.19.169.244,FALSE,0
25,Shawn,Medina,smedinao@usnews.com,Cyprus,74.154.198.72,FALSE,0
26,Phillip,Murphy,pmurphyp@fotki.com,Netherlands,31.190.25.237,TRUE,0
27,Patricia,Welch,pwelchq@zdnet.com,Ukraine,86.155.126.31,TRUE,0
28,Roy,Sims,rsimsr@unblog.fr,China,209.7.237.11,TRUE,0
29,Susan,Anderson,sandersons@google.ca,Indonesia,1.60.206.215,FALSE,0
30,Norma,Clark,nclarkt@furl.net,China,108.100.172.66,FALSE,0
31,Donald,Foster,dfosteru@businessweek.com,Mexico,89.217.82.84,TRUE,0
32,Willie,Johnson,wjohnsonv@answers.com,Bosnia and Herzegovina,235.57.192.234,FALSE,0
